Type,Bug,Affected_lines
Generated,Math_42,2
Generated,Math_3,2
Generated,Math_11,4
Generated,Math_5,2
Generated,Math_2,2
Generated,Math_44,1
Generated,Math_104,4
Generated,Math_28,2
Generated,Chart_24,2
Generated,Chart_12,1
Generated,Lang_63,2
Generated,Chart_13,2
Generated,Lang_55,3
Generated,Chart_25,2
Generated,Lang_41,4
Generated,Lang_46,0
Generated,Lang_15,7
Generated,Lang_24,1
Generated,Lang_22,4
Generated,Math_32,7
Generated,Chart_1,2
Generated,Chart_6,2
Generated,Math_50,2
Generated,Math_57,4
Generated,Math_34,2
Generated,Math_56,2
Generated,Math_58,2
Generated,Math_24,3
Generated,Math_25,1
Generated,Math_49,2
Generated,Math_40,1
Generated,Lang_57,1
Generated,Lang_50,8
Generated,Lang_1,4
Generated,Lang_59,1
Generated,Lang_61,4
Generated,Chart_11,2
Generated,Lang_7,2
Generated,Lang_60,1
Generated,Chart_10,3
Generated,Lang_58,0
Generated,Chart_17,2
Generated,Lang_51,5
Generated,Lang_33,1
Generated,Lang_34,3
Generated,Lang_16,1
Generated,Lang_27,1
Generated,Lang_45,3
Generated,Lang_21,9
Generated,Lang_10,2
Generated,Lang_43,1
Generated,Lang_44,3
Generated,Chart_5,2
Generated,Math_53,1
Generated,Math_31,3
Generated,Chart_3,2
Generated,Math_30,2
Generated,Math_39,1
Human,Math_42,4
Human,Math_3,3
Human,Math_11,2
Human,Math_5,2
Human,Math_2,2
Human,Math_44,7
Human,Math_104,2
Human,Math_28,4
Human,Chart_24,2
Human,Chart_12,2
Human,Lang_63,23
Human,Chart_13,2
Human,Lang_55,2
Human,Chart_25,16
Human,Lang_41,23
Human,Lang_46,17
Human,Lang_15,8
Human,Lang_24,2
Human,Lang_22,8
Human,Math_32,2
Human,Chart_1,2
Human,Chart_6,9
Human,Math_50,4
Human,Math_57,2
Human,Math_34,2
Human,Math_56,8
Human,Math_58,2
Human,Math_24,4
Human,Math_25,3
Human,Math_49,8
Human,Math_40,10
Human,Lang_57,2
Human,Lang_50,16
Human,Lang_1,13
Human,Lang_59,2
Human,Lang_61,2
Human,Chart_11,2
Human,Lang_7,6
Human,Lang_60,4
Human,Chart_10,2
Human,Lang_58,3
Human,Chart_17,3
Human,Lang_51,1
Human,Lang_33,2
Human,Lang_34,4
Human,Lang_16,2
Human,Lang_27,5
Human,Lang_45,3
Human,Lang_21,2
Human,Lang_10,9
Human,Lang_43,1
Human,Lang_44,3
Human,Chart_5,6
Human,Math_53,3
Human,Math_31,46
Human,Chart_3,2
Human,Math_30,2
Human,Math_39,9
